Message,Value,WPARAM (In),LPARAM (In),WPARAM (Out),LPARAM (Out),LRESULT (Out),MSDN,GitHub
WM_WINDOWPOSCHANGED,0x0047,NULL,WINDOWPOS*,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-windowposchanged,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-windowposchanged.md
WM_POWER,0x0048,Enum PWR (e.g. PWR_CRITICALRESUME),NULL,NULL,NULL,Enum PWR (e.g. PWR_OK),https://learn.microsoft.com/en-us/windows/win32/power/wm-power,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Power/wm-power.md
WM_COPYDATA,0x004A,HWND,COPYDATASTRUCT*,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-copydata,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-copydata.md
WM_CANCELJOURNAL,0x004B,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-canceljournal,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-canceljournal.md
WM_NOTIFY,0x004E,Control Identifier,NMHDR*,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/controls/wm-notify,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-notify.md
WM_INPUTLANGCHANGEREQUEST,0x0050,Enum INPUTLANGCHANGE (e.g. INPUTLANGCHANGE_BACKWARD),Input locale identifier,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-inputlangchangerequest,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-inputlangchangerequest.md
WM_INPUTLANGCHANGE,0x0051,charset,language identifier: LOWORD. HDC: HIWORD,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-inputlangchange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-inputlangchange.md
WM_TCARD,0x0052,,,,,,https://learn.microsoft.com/en-us/windows/win32/shell/wm-tcard,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/shell/wm-tcard.md
WM_HELP,0x0053,NULL,HELPINFO*,NULL,NULL,BOOL,https://learn.microsoft.com/en-us/windows/win32/shell/wm-help,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/shell/wm-help.md
WM_USERCHANGED,0x0054,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-userchanged,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-userchanged.md
WM_NOTIFYFORMAT,0x0055,HWND,Enum NF (e.g. NF_QUERY),NULL,NULL,Enum NFR (e.g. NFR_ANSI),https://learn.microsoft.com/en-us/windows/win32/controls/wm-notifyformat,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-notifyformat.md
WM_CONTEXTMENU,0x007B,HWND,xPos: LOWORD. yPos: HIWORD,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-contextmenu,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-contextmenu.md
WM_STYLECHANGING,0x007C,Enum GWL (e.g. GWL_EXSTYLE),STYLESTRUCT*,NULL,STYLESTRUCT*,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-stylechanging,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-stylechanging.md
